Elo Rank,Player,Age,Elo,Unnamed: 4,hElo Rank,hElo,cElo Rank,cElo,gElo Rank,gElo,Unnamed: 11,Peak Elo,Peak Month,Unnamed: 14,WTA Rank,Log diff,NormName
178,Jana Fett,28.5,1590.9,,195,1523.2,148,1564.1,168,1487.6,,1755.5,2017-10,,167,0.06,Fett J.
179,Harriet Dart,28.8,1590.4,,160,1574.7,254,1429.4,103,1572.9,,1727.2,2022-06,,118,0.42,Dart H.
180,Clervie Ngounoue,18.8,1589.8,,159,1575.1,222,1464.4,227,1443.2,,1656.8,2025-03,,221,-0.21,Ngounoue C.
181,Veronika Erjavec,25.4,1589.8,,238,1471.0,147,1564.3,220,1451.8,,1626.4,2025-03,,172,0.05,Erjavec V.
182,Tamara Korpatsch,30.0,1588.4,,204,1509.4,137,1574.6,239,1436.0,,1717.5,2022-10,,157,0.15,Korpatsch T.
183,Talia Gibson,20.9,1587.3,,171,1560.7,271,1420.4,152,1504.0,,1656.9,2024-10,,127,0.37,Gibson T.
184,Elena Pridankina,19.7,1586.2,,194,1523.3,143,1567.3,192,1468.1,,1658.2,2025-04,,176,0.04,Pridankina E.
185,Amarissa Kiara Toth,22.2,1584.9,,241,1468.3,162,1545.7,193,1467.5,,1584.9,2025-05,,274,-0.39,Toth A.
186,Sachia Vickery,29.7,1583.6,,184,1544.2,164,1544.8,202,1462.7,,1736.9,2018-04,,414,-0.8,Vickery S.
187,Fiona Ferro,28.2,1580.0,,180,1553.0,180,1526.6,232,1441.8,,1864.6,2021-03,,380,-0.71,Ferro F.
188,Lola Radivojevic,20.4,1579.9,,261,1442.7,135,1578.8,118,1540.0,,1611.2,2024-09,,174,0.08,Radivojevic L.
189,Julia Riera,22.9,1578.5,,214,1494.8,167,1541.1,234,1440.6,,1731.2,2024-05,,201,-0.06,Riera J.
190,Chloe Paquet,30.9,1576.6,,237,1471.2,165,1542.9,252,1428.8,,1631.4,2024-08,,151,0.23,Paquet C.
191,Alina Charaeva,23.0,1576.3,,252,1456.7,142,1568.1,200,1463.2,,1623.2,2024-10,,185,0.03,Charaeva A.
192,Jule Niemeier,25.8,1575.6,,178,1553.9,157,1552.2,138,1519.2,,1867.6,2022-06,,152,0.23,Niemeier J.
193,Emerson Jones,16.8,1575.3,,177,1554.7,286,1402.7,203,1462.7,,1618.0,2025-01,,207,-0.07,Jones E.
194,Katarzyna Kawa,32.5,1574.6,,253,1456.3,151,1561.7,189,1473.5,,1649.3,2020-11,,139,0.33,Kawa K.
